Date,Price,Open,High,Low,Change %
16-Aug-17,"4,330.00","4,160.00","4,364.00","3,928.10",4.29
15-Aug-17,"4,151.90","4,321.00","4,430.00","3,841.90",-3.88
14-Aug-17,"4,319.50","4,061.60","4,330.30","3,969.30",6.57
13-Aug-17,"4,053.30","3,866.20","4,183.70","3,836.10",4.86
12-Aug-17,"3,865.50","3,643.40","3,965.40","3,590.00",6.08
11-Aug-17,"3,644.10","3,404.70","3,690.60","3,380.00",6.93
10-Aug-17,"3,407.90","3,340.20","3,444.40","3,310.00",2.04
9-Aug-17,"3,339.90","3,415.00","3,424.40","3,236.80",-2.2
8-Aug-17,"3,415.00","3,395.00","3,482.90","3,343.80",0.54
7-Aug-17,"3,396.70","3,232.50","3,440.00","3,190.00",5.23
6-Aug-17,"3,227.90","3,255.00","3,309.80","3,156.00",-0.88
5-Aug-17,"3,256.40","2,860.00","3,331.90","2,855.00",13.86
4-Aug-17,"2,860.00","2,790.30","2,874.80","2,762.60",2.5
3-Aug-17,"2,790.30","2,702.00","2,813.00","2,698.00",3.27
2-Aug-17,"2,702.00","2,733.80","2,757.80","2,640.00",-1.07
1-Aug-17,"2,731.20","2,854.30","2,901.60","2,615.80",-4.37
31-Jul-17,"2,856.00","2,748.90","2,883.50","2,694.80",3.89
30-Jul-17,"2,749.00","2,713.70","2,756.20","2,595.00",1.29
29-Jul-17,"2,714.10","2,784.80","2,794.20","2,662.60",-2.54
28-Jul-17,"2,784.80","2,664.60","2,819.90","2,655.50",4.5
27-Jul-17,"2,664.90","2,527.70","2,682.20","2,511.00",5.51
26-Jul-17,"2,525.70","2,560.90","2,612.00","2,404.60",-1.37
25-Jul-17,"2,560.90","2,769.70","2,790.10","2,435.70",-7.54
24-Jul-17,"2,769.70","2,750.10","2,812.00","2,707.30",0.81
23-Jul-17,"2,747.50","2,845.70","2,875.70","2,656.20",-3.45
22-Jul-17,"2,845.70","2,659.00","2,912.90","2,642.80",6.82
21-Jul-17,"2,664.00","2,874.50","2,874.50","2,615.00",-6.73
20-Jul-17,"2,856.30","2,253.30","2,919.90","2,253.30",26.77
19-Jul-17,"2,253.10","2,302.20","2,399.90","2,214.20",-2.13
18-Jul-17,"2,302.10","2,220.00","2,380.20","2,139.80",3.74
17-Jul-17,"2,219.00","1,925.00","2,223.30","1,924.10",15.28
16-Jul-17,"1,924.90","1,979.70","2,048.80","1,835.80",-2.71
15-Jul-17,"1,978.60","2,206.50","2,210.10","1,975.70",-10.27
14-Jul-17,"2,205.10","2,329.40","2,345.60","2,138.00",-5.32
13-Jul-17,"2,329.00","2,375.60","2,400.00","2,293.80",-1.91
12-Jul-17,"2,374.40","2,285.60","2,394.00","2,195.80",4.04
11-Jul-17,"2,282.10","2,318.30","2,372.80","2,183.30",-1.56
10-Jul-17,"2,318.30","2,477.90","2,498.10","2,240.00",-6.44
