,Date,SAR,AF
0,2-Feb-12,,
1,3-Feb-12,,
2,4-Feb-12,,
3,5-Feb-12,5.7,0.02
4,6-Feb-12,5.7,0.04
5,7-Feb-12,5.688000000000001,0.04
6,8-Feb-12,5.676480000000001,0.04
7,9-Feb-12,5.665420800000001,0.04
8,10-Feb-12,5.654803968,0.04
9,11-Feb-12,,
10,12-Feb-12,,
11,13-Feb-12,,
12,14-Feb-12,4.5,0.02
13,15-Feb-12,4.522,0.02
14,16-Feb-12,4.54356,0.02
15,17-Feb-12,4.5646888,0.02
16,18-Feb-12,,
17,19-Feb-12,,
18,20-Feb-12,,
19,21-Feb-12,,
20,22-Feb-12,,
21,23-Feb-12,5.0,0.02
22,24-Feb-12,5.0,0.02
23,25-Feb-12,5.0,0.02
24,26-Feb-12,5.0,0.02
25,27-Feb-12,5.0,0.02
26,28-Feb-12,5.0,0.02
27,29-Feb-12,,
28,1-Mar-12,,
29,2-Mar-12,,
30,3-Mar-12,4.6,0.02
31,4-Mar-12,4.6,0.02
32,5-Mar-12,4.6,0.02
33,6-Mar-12,4.6,0.02
34,7-Mar-12,4.6,0.02
35,8-Mar-12,4.6,0.02
36,9-Mar-12,4.6,0.02
37,10-Mar-12,4.6,0.02
38,11-Mar-12,4.6,0.02
39,12-Mar-12,4.6,0.02
40,13-Mar-12,4.6,0.02
41,14-Mar-12,4.6,0.02
42,15-Mar-12,,
43,16-Mar-12,,
44,17-Mar-12,,
45,18-Mar-12,5.3,0.02
46,19-Mar-12,,
47,20-Mar-12,,
48,21-Mar-12,,
49,22-Mar-12,,
50,23-Mar-12,,
51,24-Mar-12,4.7,0.02
52,25-Mar-12,4.702,0.02
53,26-Mar-12,4.70396,0.02
54,27-Mar-12,4.7058808,0.02
55,28-Mar-12,4.707763184,0.02
56,29-Mar-12,4.70960792032,0.02
57,30-Mar-12,4.7114157619135995,0.04
58,31-Mar-12,4.718959131437056,0.04
59,1-Apr-12,4.7262007661795735,0.04
60,2-Apr-12,4.733152735532391,0.06
61,3-Apr-12,4.749163571400447,0.06
62,4-Apr-12,,
63,5-Apr-12,,
64,6-Apr-12,,
