,Date,High,Low,Price,SAR,Upper Band,Middle Band,Lower Band
0,2-Feb-12,6.1,6.1,6.1,,,,
1,3-Feb-12,6,6,6,6.1,,,
2,4-Feb-12,5.9,5.9,5.9,6.08,,,
3,5-Feb-12,5.7,5.7,5.7,6.044,,,
4,6-Feb-12,5.4,5.4,5.4,5.9752,6.316386946,5.82,5.323613054
5,7-Feb-12,5.7,5.7,5.7,5.86016,6.151825206,5.74,5.328174794
6,8-Feb-12,5.6,5.6,5.6,5.768128,5.984961536,5.66,5.335038464
7,9-Feb-12,5.8,5.8,5.8,5.4,5.911293199,5.64,5.368706801
8,10-Feb-12,5.9,5.9,5.9,5.48,6.024093011,5.68,5.335906989
9,11-Feb-12,5.6,5.6,5.6,5.564,5.953238076,5.72,5.486761924
10,12-Feb-12,5.5,5.5,5.5,5.9,5.973938769,5.68,5.386061231
11,13-Feb-12,5.3,5.3,5.3,5.82,6.04708313,5.62,5.19291687
12,14-Feb-12,4.5,4.5,4.5,5.716,6.30318609,5.36,4.41681391
13,15-Feb-12,4.3,4.3,4.3,5.4728,6.110327053,5.04,3.969672947
14,16-Feb-12,4.3,4.3,4.3,5.23824,5.810727898,4.78,3.749272102
15,17-Feb-12,4.4,4.4,4.4,5.050592,5.314718491,4.56,3.805281509
16,18-Feb-12,4.2,4.2,4.2,4.9004736,4.543960781,4.34,4.136039219
17,19-Feb-12,4.4,4.4,4.4,4.76037888,4.469666295,4.32,4.170333705
18,20-Feb-12,4.4,4.4,4.4,4.648303104,4.5,4.34,4.18
19,21-Feb-12,4.3,4.3,4.3,4.558642483,4.5,4.34,4.18
20,22-Feb-12,4.4,4.4,4.4,4.486913987,4.5,4.34,4.18
21,23-Feb-12,5,5,5,4.2,5.005964426,4.5,3.994035574
22,24-Feb-12,5,5,5,4.36,5.244819974,4.62,3.995180026
23,25-Feb-12,4.8,4.8,4.8,4.488,5.293295879,4.7,4.106704121
24,26-Feb-12,4.9,4.9,4.9,4.5904,5.265421149,4.82,4.374578851
25,27-Feb-12,5,5,5,4.67232,5.1,4.94,4.78
26,28-Feb-12,4.9,4.9,4.9,4.737856,5.069666295,4.92,4.770333705
27,29-Feb-12,4.9,4.9,4.9,4.7902848,5.026491106,4.9,4.773508894
28,1-Mar-12,4.9,4.9,4.9,4.83222784,5,4.92,4.84
29,2-Mar-12,4.7,4.7,4.7,5,5.075959179,4.88,4.684040821
30,3-Mar-12,4.6,4.6,4.6,4.94,5.052982213,4.8,4.547017787
31,4-Mar-12,4.8,4.8,4.8,4.872,5.013238076,4.78,4.546761924
32,5-Mar-12,5,5,5,4.6,5.082842712,4.8,4.517157288
33,6-Mar-12,5,5,5,4.68,5.14,4.82,4.5
34,7-Mar-12,4.9,4.9,4.9,4.744,5.159332591,4.86,4.560667409
35,8-Mar-12,4.9,4.9,4.9,4.7952,5.069666295,4.92,4.770333705
36,9-Mar-12,4.9,4.9,4.9,4.83616,5.03797959,4.94,4.84202041
37,10-Mar-12,4.8,4.8,4.8,5,5.026491106,4.9,4.773508894
38,11-Mar-12,4.9,4.9,4.9,4.96,4.96,4.88,4.8
39,12-Mar-12,4.9,4.9,4.9,4.928,4.96,4.88,4.8
40,13-Mar-12,5.3,5.3,5.3,4.8,5.308711915,4.96,4.611288085
41,14-Mar-12,5.4,5.4,5.4,4.9,5.543321839,5.06,4.576678161
42,15-Mar-12,5.3,5.3,5.3,5,5.590813185,5.16,4.729186815
43,16-Mar-12,5.3,5.3,5.3,5.08,5.588711915,5.24,4.891288085
44,17-Mar-12,5.2,5.2,5.2,5.144,5.426491106,5.3,5.173508894
45,18-Mar-12,5.3,5.3,5.3,5.1952,5.426491106,5.3,5.173508894
46,19-Mar-12,4.7,4.7,4.7,5.4,5.626476152,5.16,4.693523848
47,20-Mar-12,4.8,4.8,4.8,5.3,5.575363949,5.06,4.544636051
48,21-Mar-12,4.8,4.8,4.8,5.18,5.443321839,4.96,4.476678161
49,22-Mar-12,4.7,4.7,4.7,5.084,5.308998886,4.86,4.411001114
50,23-Mar-12,4.7,4.7,4.7,5.0072,4.83797959,4.74,4.64202041
51,24-Mar-12,4.7,4.7,4.7,4.94576,4.83797959,4.74,4.64202041
52,25-Mar-12,4.6,4.6,4.6,4.896608,4.826491106,4.7,4.573508894
53,26-Mar-12,4.6,4.6,4.6,4.8372864,4.75797959,4.66,4.56202041
54,27-Mar-12,4.8,4.8,4.8,4.6,4.829666295,4.68,4.530333705
55,28-Mar-12,4.8,4.8,4.8,4.6,4.878885438,4.7,4.521114562
56,29-Mar-12,4.8,4.8,4.8,4.64,4.915959179,4.72,4.524040821
57,30-Mar-12,4.9,4.9,4.9,4.672,4.975959179,4.78,4.584040821
58,31-Mar-12,4.9,4.9,4.9,4.7176,4.93797959,4.84,4.74202041
59,1-Apr-12,4.8,4.8,4.8,4.75408,4.93797959,4.84,4.74202041
60,2-Apr-12,5,5,5,4.783264,5.029666295,4.88,4.730333705
61,3-Apr-12,4.9,4.9,4.9,4.8,5.026491106,4.9,4.773508894
62,4-Apr-12,4.9,4.9,4.9,4.84,5.026491106,4.9,4.773508894
63,5-Apr-12,4.9,4.9,4.9,4.872,5.026491106,4.9,4.773508894
64,6-Apr-12,4.9,4.9,4.9,4.8976,5,4.92,4.84
65,7-Apr-12,4.7,4.7,4.7,5,5.02,4.86,4.7
66,8-Apr-12,4.8,4.8,4.8,4.94,5,4.84,4.68
67,9-Apr-12,4.9,4.9,4.9,4.7,5,4.84,4.68
68,10-Apr-12,4.8,4.8,4.8,4.74,4.969666295,4.82,4.670333705
69,11-Apr-12,4.9,4.9,4.9,4.772,4.969666295,4.82,4.670333705
70,12-Apr-12,4.9,4.9,4.9,4.7976,4.95797959,4.86,4.76202041
71,13-Apr-12,4.9,4.9,4.9,4.81808,4.96,4.88,4.8
72,14-Apr-12,5,5,5,4.834464,5.026491106,4.9,4.773508894
73,15-Apr-12,5,5,5,4.8675712,5.03797959,4.94,4.84202041
74,16-Apr-12,4.9,4.9,4.9,4.89405696,5.03797959,4.94,4.84202041
75,17-Apr-12,5,5,5,4.9,5.05797959,4.96,4.86202041
76,18-Apr-12,5.1,5.1,5.1,4.9,5.126491106,5,4.873508894
77,19-Apr-12,5.1,5.1,5.1,4.94,5.169666295,5.02,4.870333705
78,20-Apr-12,5.3,5.3,5.3,4.972,5.345329983,5.08,4.814670017
79,21-Apr-12,5.3,5.3,5.3,5.0376,5.4,5.16,4.92
80,22-Apr-12,5.2,5.2,5.2,5.09008,5.378885438,5.2,5.021114562
81,23-Apr-12,5,5,5,5.3,5.413238076,5.18,4.946761924
82,24-Apr-12,5.1,5.1,5.1,5.24,5.413238076,5.18,4.946761924
83,25-Apr-12,5.1,5.1,5.1,5.192,5.343960781,5.14,4.936039219
84,26-Apr-12,5.1,5.1,5.1,5.1536,5.226491106,5.1,4.973508894
85,27-Apr-12,5.1,5.1,5.1,5.12288,5.16,5.08,5
86,28-Apr-12,5,5,5,5.1,5.16,5.08,5
87,29-Apr-12,4.9,4.9,4.9,5.1,5.2,5.04,4.88
88,30-Apr-12,4.9,4.9,4.9,5.06,5.178885438,5,4.821114562
89,1-May-12,5,5,5,5.028,5.129666295,4.98,4.830333705
90,2-May-12,5.1,5.1,5.1,4.9,5.129666295,4.98,4.830333705
91,3-May-12,5.1,5.1,5.1,4.94,5.178885438,5,4.821114562
92,4-May-12,5.1,5.1,5.1,4.972,5.2,5.04,4.88
93,5-May-12,5.1,5.1,5.1,4.9976,5.16,5.08,5
94,6-May-12,5.1,5.1,5.1,5.01808,5.1,5.1,5.1
95,7-May-12,5.1,5.1,5.1,5.034464,5.1,5.1,5.1
96,8-May-12,5.1,5.1,5.1,5.0475712,5.1,5.1,5.1
97,9-May-12,5,5,5,5.1,5.16,5.08,5
98,10-May-12,4.8,4.8,4.8,5.1,5.253238076,5.02,4.786761924
99,11-May-12,5,5,5,5.04,5.219089023,5,4.780910977
100,12-May-12,4.9,4.9,4.9,5,5.163960781,4.96,4.756039219
101,13-May-12,4.9,4.9,4.9,5,5.069666295,4.92,4.770333705
102,14-May-12,5,5,5,4.8,5.069666295,4.92,4.770333705
103,15-May-12,5,5,5,4.84,5.05797959,4.96,4.86202041
104,16-May-12,5.1,5.1,5.1,4.872,5.129666295,4.98,4.830333705
105,17-May-12,5.1,5.1,5.1,4.9176,5.169666295,5.02,4.870333705
106,18-May-12,5.1,5.1,5.1,4.95408,5.15797959,5.06,4.96202041
107,19-May-12,5.1,5.1,5.1,4.983264,5.16,5.08,5
108,20-May-12,5.1,5.1,5.1,5.0066112,5.1,5.1,5.1
109,21-May-12,5.1,5.1,5.1,5.02528896,5.1,5.1,5.1
110,22-May-12,5.1,5.1,5.1,5.040231168,5.1,5.1,5.1
111,23-May-12,5.1,5.1,5.1,5.052184934,5.1,5.1,5.1
112,24-May-12,5.1,5.1,5.1,5.061747948,5.1,5.1,5.1
113,25-May-12,5.2,5.2,5.2,5.069398358,5.2,5.12,5.04
114,26-May-12,5.1,5.1,5.1,5.095518686,5.2,5.12,5.04
115,27-May-12,5.1,5.1,5.1,5.2,5.2,5.12,5.04
116,28-May-12,5.1,5.1,5.1,5.18,5.2,5.12,5.04
117,29-May-12,5.2,5.2,5.2,5.1,5.23797959,5.14,5.04202041
118,30-May-12,5.1,5.1,5.1,5.2,5.2,5.12,5.04
119,31-May-12,5.2,5.2,5.2,5.1,5.23797959,5.14,5.04202041
120,1-Jun-12,5.3,5.3,5.3,5.1,5.329666295,5.18,5.030333705
121,2-Jun-12,5.3,5.3,5.3,5.14,5.369666295,5.22,5.070333705
122,3-Jun-12,5.2,5.2,5.2,5.172,5.369666295,5.22,5.070333705
123,4-Jun-12,5.3,5.3,5.3,5.1976,5.35797959,5.26,5.16202041
124,5-Jun-12,5.4,5.4,5.4,5.2,5.426491106,5.3,5.173508894
125,6-Jun-12,5.5,5.5,5.5,5.24,5.543960781,5.34,5.136039219
126,7-Jun-12,5.6,5.6,5.6,5.292,5.682842712,5.4,5.117157288
127,8-Jun-12,5.6,5.6,5.6,5.3536,5.713238076,5.48,5.246761924
128,9-Jun-12,5.6,5.6,5.6,5.40288,5.7,5.54,5.38
129,10-Jun-12,5.5,5.5,5.5,5.442304,5.65797959,5.56,5.46202041
130,11-Jun-12,5.6,5.6,5.6,5.4738432,5.66,5.58,5.5
131,12-Jun-12,5.7,5.7,5.7,5.49907456,5.726491106,5.6,5.473508894
132,13-Jun-12,5.9,5.9,5.9,5.539259648,5.931293199,5.66,5.388706801
133,14-Jun-12,5.9,5.9,5.9,5.611407718,6.04,5.72,5.4
134,15-Jun-12,6.5,6.5,6.5,5.669126175,6.544819974,5.92,5.295180026
135,16-Jun-12,6.4,6.4,6.4,5.83530094,6.704819974,6.08,5.455180026
136,17-Jun-12,6.2,6.2,6.2,5.968240752,6.676386946,6.18,5.683613054
137,18-Jun-12,6.3,6.3,6.3,6.074592601,6.671825206,6.26,5.848174794
138,19-Jun-12,6.5,6.5,6.5,6.159674081,6.613238076,6.38,6.146761924
139,20-Jun-12,6.7,6.7,6.7,6.227739265,6.764093011,6.42,6.075906989
140,21-Jun-12,6.7,6.7,6.7,6.322191412,6.887921561,6.48,6.072078439
141,22-Jun-12,6.6,6.6,6.6,6.39775313,6.859332591,6.56,6.260667409
142,23-Jun-12,6.4,6.4,6.4,6.7,6.813238076,6.58,6.346761924
143,24-Jun-12,6.3,6.3,6.3,6.64,6.864961536,6.54,6.215038464
144,25-Jun-12,6.3,6.3,6.3,6.572,6.784961536,6.46,6.135038464
145,26-Jun-12,6.4,6.4,6.4,6.5176,6.619089023,6.4,6.180910977
146,27-Jun-12,6.7,6.7,6.7,6.3,6.713938769,6.42,6.126061231
147,28-Jun-12,6.6,6.6,6.6,6.38,6.784961536,6.46,6.135038464
148,29-Jun-12,6.7,6.7,6.7,6.444,6.864961536,6.54,6.215038464
149,30-Jun-12,6.7,6.7,6.7,6.4952,6.853238076,6.62,6.386761924
150,1-Jul-12,6.6,6.6,6.6,6.53616,6.75797959,6.66,6.56202041
151,2-Jul-12,6.8,6.8,6.8,6.568928,6.829666295,6.68,6.530333705
152,3-Jul-12,6.4,6.4,6.4,6.8,6.911293199,6.64,6.368706801
153,4-Jul-12,6.5,6.5,6.5,6.8,6.882842712,6.6,6.317157288
154,5-Jul-12,6.7,6.7,6.7,6.72,6.882842712,6.6,6.317157288
155,6-Jul-12,6.7,6.7,6.7,6.4,6.913938769,6.62,6.326061231
156,7-Jul-12,6.8,6.8,6.8,6.46,6.913938769,6.62,6.326061231
157,8-Jul-12,6.8,6.8,6.8,6.528,6.919089023,6.7,6.480910977
158,9-Jul-12,7,7,7,6.5824,7.019089023,6.8,6.580910977
159,10-Jul-12,7.2,7.2,7.2,6.66592,7.257770876,6.9,6.542229124
160,11-Jul-12,7.2,7.2,7.2,6.772736,7.357770876,7,6.642229124
